trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-186.118174809543,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,3,-45.47613715423787,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-118.44044446486359,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-76.71543098651424,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-21.18798687037429,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-139.51041216137088,"{0: 15, 1: 6, 2: 1, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-51.71437720376598,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,4,-45.7174342908371,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,13,-52.10895562800265,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-107.35730740466181,"{0: 25, 1: 2, 2: 4, 3: 4, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,16,-21.403271878741066,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-32.622898331710374,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-69.20280818378441,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,16,-67.49939236196401,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,4,8.008887255434662,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,8,-89.61411296642729,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,13,-27.98953583662128,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,7,11.547507240557154,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-37.28205532899335,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-112.02396027268243,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,16.940518819804076,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",35,21,16.728777574057094,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,25.357456797759312,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,14.101368506391173,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,-142.37187787821114,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",25,11,15.504903239904344,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,2,-59.07890775910674,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",30,0,26.921252401314163,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,12,-22.182981270973464,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,-47.293256564551925,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",25,13,20.028274764324838,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,0,-39.27560404650702,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",20,6,5.936044814252868,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,1,-21.257819886639634,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,True,"{'a': 0, 'e': 0}",30,7,18.385933265823915,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,14,-29.878348783950635,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,True,"{'a': 0, 'e': 0}",20,11,-29.11163087202895,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,True,"{'a': 0, 'e': 0}",25,0,6.371347347508737,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",25,0,30.470128511776327,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",30,0,-67.00140208525855,"{0: 25, 1: 1, 2: 1, 3: 2, 4: 1}",0
21,True,"{'a': 0, 'e': 0}",30,0,-76.53846392235906,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
22,True,"{'a': 0, 'e': 0}",20,4,18.39561447886602,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",25,0,-54.792356619558795,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
24,True,"{'a': 0, 'e': 0}",20,11,7.212554663371335,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",35,13,35.42305589438787,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,14,11.102167493949798,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",25,5,17.120581914958514,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",25,0,-11.326766167532126,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
29,True,"{'a': 0, 'e': 0}",20,0,12.284479068109475,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,True,"{'a': 0, 'e': 0}",30,0,-76.56623839851792,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
