trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 1.5}",20,0,-193.4114153209123,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.3, 'e': 1.4999995000000417}",20,0,-57.97318420524447,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.3, 'e': 1.4999980000006667}",20,0,-107.27617552849237,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.3, 'e': 1.499995500003375}",20,0,-194.3721492878694,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.3, 'e': 1.4999920000106668}",20,0,-134.54595191054182,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.3, 'e': 1.4999875000260416}",20,0,-102.40023394198693,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.3, 'e': 1.499982000054}",20,0,-96.14237284022008,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.3, 'e': 1.4999755001000414}",20,15,4.816190265016999,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.3, 'e': 1.4999680001706663}",20,0,-89.98431806699344,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.3, 'e': 1.4999595002733743}",25,17,-15.152111004450235,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.3, 'e': 1.4999500004166653}",25,0,-57.265048569318786,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.3, 'e': 1.4999395006100391}",30,0,-78.45928146193624,"{0: 17, 1: 8, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.3, 'e': 1.4999280008639957}",20,0,-142.3853266910072,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.3, 'e': 1.499915501190035}",20,0,-43.21355957466725,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.3, 'e': 1.4999020016006561}",25,12,-13.869170509174767,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.3, 'e': 1.4998875021093592}",30,0,-185.63950508319505,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.3, 'e': 1.4998720027306434}",20,0,-99.24660661290594,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.3, 'e': 1.499855503480008}",20,0,-193.34136277343276,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
19,False,"{'a': 0.3, 'e': 1.4998380043739528}",30,2,-72.7582785776583,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 0}",1
20,False,"{'a': 0.3, 'e': 1.4998195054299763}",25,0,-184.25848348832204,"{0: 9, 1: 3, 2: 10, 3: 2, 4: 1}",0
21,False,"{'a': 0.3, 'e': 1.4998000066665778}",25,2,-103.32456289832736,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 1}",1
22,False,"{'a': 0.3, 'e': 1.4997795081032559}",25,0,-270.0185891407106,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 5}",0
23,False,"{'a': 0.3, 'e': 1.4997580097605092}",20,0,-93.19233069000656,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
24,False,"{'a': 0.3, 'e': 1.499735511659836}",30,0,-232.23833777584255,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
25,False,"{'a': 0.3, 'e': 1.4997120138237345}",30,0,-219.78939789745766,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
26,False,"{'a': 0.3, 'e': 1.4996875162757026}",20,0,-99.41671695633089,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
27,False,"{'a': 0.3, 'e': 1.4996620190402377}",30,0,-176.315633982087,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
28,False,"{'a': 0.3, 'e': 1.499635522142837}",25,0,-120.23589753598571,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.3, 'e': 1.4996080256099975}",30,0,-100.78142627300025,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.3, 'e': 1.4995795294692156}",20,0,-183.02846776473058,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
31,False,"{'a': 0.3, 'e': 1.4995500337489875}",25,0,-116.494685678369,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
32,False,"{'a': 0.3, 'e': 1.499519538478809}",20,0,-46.27044583392625,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.3, 'e': 1.4994880436891753}",30,19,-98.10249128354936,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 2}",1
34,False,"{'a': 0.3, 'e': 1.4994555494115813}",20,0,-70.54600787260482,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.3, 'e': 1.4994220556785212}",20,0,-60.05696858821021,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
